__label__Drama __label__War	At Fort Bragg cynical newspaper reporter George Beckworth  is at a Special Forces briefing about the American military involvement in the war in Vietnam The briefing  includes a demonstration and explanation of the whys and wherefores of participating in that Asian war The films first scene illustrates that contention when Green Beret tour guides at Fort Bragg North Carolina show civilian visitors to the US Infantry School the Soviet and Chinesemade weapons issued to the soldiers and guerillas of the communist NVA and VC Skeptical civilians and journalists are told that multinational Communism is what the US will be fighting in Vietnam proof weapons and equipment captured from North Vietnamese soldiers and Viet Cong guerrillas originating in the Soviet Union Communist Czechoslovakia and Communist China Despite that Beckworth remains skeptical about the value of intervening in Vietnams civil war When asked by Green Beret Colonel Mike Kirby  if he had ever been to Southeast Asia reporter Beckworth replies that he had not prompting a discourteous acknowledgement of his opinion Realizing his ignorance Beckworth decides to go incountry to report on what he finds there so he may better his argument that America needs to stop participating in this unwinnable war Colonel Kirby is posted to South Vietnam with two handpicked ATeams of Special Forces troopers One ATeam is to replace a team at a basecamp working with South Vietnamese and Montagnard soldiers while the other ATeam is to form a counter guerilla Mike force While selecting his teams Kirby intercepts a Spc Petersen  from another unit who is scrounging supplies from Kirbys supply depot Realizing Petersens skills Kirby promotes him and brings him onto his SF team Arriving In South Vietnam they meet Beckworth whom Kirby allows to join them at the basecamp where he witnesses the humanitarian aspect  of the Special Forces mission Still he remains skeptical of the USs need to be there He changes his mind after a ferocious North Vietnamese Army attack upon the SF camp admitting he probably will be fired from the newspaper for filing a story supporting the American war During this period Petersen befriends a young native boy named Hamchuck a war orphan who has no family other than his dog and the soldiers at the basecamp As the battle rages the dog is killed and the boy tearfully buries his faithful companion Symbolically the boy uses the stick he had used to dig the dogs grave as the tombstone As the soldiers rush to their defensive positions the stick is knocked away leaving an unmarked grave After that battle Beckworth temporarily disappears from the story while Col Mike Kirby leads a team of Green Berets Montagnards  and ARVN soldiers on a topsecret kidnap mission capturing a very important NVA field commander who lives eats and drinks very well in a guarded mansion while the common people go hungry cold and naked Kirbys ARVN counterpart Colonel Cai uses his sisterinlaw as a honey trap bait for the General The raid is successful with the captured General airlifted out of the area by a Skyhook device but at a high cost to the patrol  many of the men are killed and left behind including Petersen Near the end of the story Beckworth watches as Hamchuck awaits the return of the helicopters carrying the survivors of the raid He realizes the toll of the war as Hamchuck runs crying from helicopter to helicopter searching for Petersen Kirby in a touching moment walks over to the boy and tells him the sad news Hamchuck asks plaintively what will happen to me now Kirby places Petersens green beret on him and says You let me worry about that Green Beret Youre what this things all about The two walk holding hands along the beach into the sunset
__label__History __label__Drama __label__War __label__Biography	The film follows the life of George Armstrong Custer  including his attending the West Point Military Academy his wooing of Elizabeth Libby Bacon  who becomes his loving wife and his participation in the American Civil War and the Battle of Little Big Horn Custer enters West Point and quickly establishes himself as a troublemaker after showing up in an outfit he designed himself that made him appear as a visiting officer After he is almost kicked out of West Point for the misunderstanding he signs up as a cadet and stacks up demerits for pranks unruliness and disregard of rules When the Civil War breaks out his class at West Point is graduated early including Custer who graduates at the bottom of the class and is ordered to report to Washington DC Custers relationship with Libby Bacon begins at West Point when he is walking a punishment tour around the campus On punishment he is not allowed to talk but he is approached by Libby who is looking for directions As soon as his punishment is over he runs after her and tells her he will meet her at her front porch that evening Because of his orders to travel to Washington Custer misses his meeting with her Once in Washington Custer befriends General Winfield Scott  who aids him in being placed with the 2nd Cavalry He becomes a war hero after disregarding his superiors orders in a crucial battle and successfully defending a bridge for the infantry to cross He is awarded a medal while recovering in hospital after a shot to the shoulder then gets leave to go home to Monroe Michigan He meets Libby again but angers her father who had been a butt of his joking at a bar earlier in day Custer returns to his regiment Due to a miscommunication from the war department he is promoted to the rank of Brigadier General He takes command of the Michigan Brigade at Gettysburg wins the day and many victories follow him all the way to Appomattox Upon returning home to Monroe as a hero Custer marries Libby and they set up a house together However Custer is bored with civilian life and has begun to drink Libby visits Custers friend General Scott and asks him to assign Custer to a regiment again He agrees and Custer is given a Lt Colonels commission in the Dakota Territory where he will ultimately be involved in the Battle of Little Big Horn later also called Custers Last Stand When Custer and Libby arrive in the Dakota Territory Custer finds the soldiers he is supposed to lead are drunken rowdy goodfornothings An old enemy from West Point Ned Sharp Arthur Kennedy  is running the bar in town as well as the General Store which is providing firearms to the local Native Americans Furious Custer shuts down the bar and teaches his troops a song Garryowen which brings fame to the 7th Cavalry They have many engagements with Dakota leader Crazy Horse  Crazy Horse wants peace but wants a treaty to protect the Black Hills Custer and Washington sign the treaty The new treaty is almost bankrupting Sharps trading posts so they spread a rumor of discovery of rich gold deposits in the area to get EuroAmerican settlers to stream into the Black Hills Custer and his troops will permit no infraction of the treaty However Sharp gives the troops each a bottle of liquor right before they are supposed to report and they embarrass Custer by riding past Commissioner Taipe  while drunk Custer hits Taipe in anger and is relieved of his command On the train home Custer hears from Libby about Sharps attempts to start a gold rush in the Black Hills a plan that would bring lots of business to Sharps shipping line Outraged Custer takes the information to the US Congress but they ridicule him When news arrives that the presence of gold miners has led to open conflict between Native Americans and US troops Custer appeals to President Ulysses S Grant who restores to him command of the 7th On the day of Custers Last Stand Custer realizes that a group of infantry will march into a valley where thousands of Native Americans stand ready to fight them Knowing the infantry wont have a chance he says a tearful goodbye to Libby and leads his battalion into the battle to save the infantry Arrows fly and horses trample across the valley and all are killed including Sharp who had elected to ride with the regiment to as Custer puts it Death or glory It depends on ones point of view and who admits with his last breath that Custer may have been right about glory and money when he said that At least you can take glory with you Custer himself is finally downed by a gunshot from Crazy Horse In the film the battle is blamed on unscrupulous corporations and politicians craving the land of Crazy Horse and his people Custer is portrayed as a funloving dashing figure who chooses honor and glory over money and corruption Though his Last Stand is probably treated as more significant and dramatic than it may have actually been Custer follows through on his promise to teach his men to endure and die with their boots on In the movies version of Custers story a few corrupt white politicians goad the western tribes into war threatening the survival of all white settlers in the West Custer and his men give their lives at Little Bighorn to delay the Indians and prevent this slaughter A letter left behind by Custer absolves the Indians of all responsibility
__label__Drama __label__Action __label__Adventure __label__War __label__Romance	 Jack Powell and David Armstrong are rivals in the same small American town both vying for the attentions of pretty Sylvia Lewis Jack fails to realize that the girl next door Mary Preston is desperately in love with him The two young men both enlist to become combat pilots in the Air Service When they leave for training camp Jack mistakenly believes Sylvia prefers him She actually prefers David and lets him know about her feelings but is too kindhearted to turn down Jacks affection Jack and David are billeted together Their tent mate is Cadet White but their acquaintance is all too brief White is killed in an air crash the same day Undaunted the two men endure a rigorous training period where they go from being enemies to best friends Upon graduating they are shipped off to France to fight the Germans Mary joins the war effort by becoming an ambulance driver She later learns of Jacks reputation as an ace and encounters him while on leave in Paris She finds him but he is too drunk to recognize her She puts him to bed but when two Military Police barge in while she is innocently changing from a borrowed dress back into her uniform in the same room she is forced to resign and return to America The climax of the story comes with the epic Battle of SaintMihiel David is shot down and presumed dead However he survives the crash landing steals a German biplane and heads for the Allied lines By a tragic stroke of bad luck he is spotted and shot down by Jack who is bent on avenging his friend When Jack lands to pick up a souvenir he becomes distraught when he learns what he has done but before David dies he forgives his comrade With the end of the war Jack returns home to a heros welcome When he returns Davids effects to his grieving parents Davids mother blames the war not Jack for her sons death Then Jack is reunited with Mary and realizes he loves her
__label__War	The film tells the story of Pan Dongzi a teenager and son of a Communist army officer When the father is called off he leaves Dongzi a red star as a symbol of the cause While he is away a bourgeois landlord Hu Hansan returns to Dongzis village where he exacts revenge upon the peasants who had forced him out In the process Dongzis mother is burned to death in their home Hardened by his mothers death Dongzi joins a band of guerrilla fighters and eventually kills his former landlord When his father finally returns Dongzi joins him as the Red Armys newest recruit in the fight against the Japanese during Second SinoJapanese War
__label__Drama __label__Romance __label__War	Shortly after World War II British Col Michael Hooky Nicobar  is staying in Rome with his aides Audrey Quail  Major John Twingo McPhimister  and Private David Moonlight  when he is suddenly transferred to Vienna Hooky is assigned to assist Brigadier CMV Catlock  in monitoring possible activities against the Allied nations and repatriating Soviet citizens living in the British zone of Vienna He and his aides are billeted at a convent led by the friendly Mother Superior  At this convent Twingo is drawn to a ballerina known as Maria Buhlen  He falls for her instantly and tries to meet her but she is reluctant to until they are officially introduced to each other by Mother Superior Twingo and Maria start going out until Soviet Colonel Piniev  reports to Hooky announcing he is searching for a Russian ballerina named Olga Alexandrova aka Maria Buhlen Piniev assures Hooky that he means no harm to Olga and that it is his order to bring her back to the Soviet Union Later that night Maria and the Mother Superior reveal that Maria is Olga the daughter of Soviet dissidents Shortly later the Soviets search the entire convent looking for Olga Hooky does not reveal that he is aware of Olgas presence not wanting to put the Mother Superiors image in danger However after the Russians leave without having found Olga Hooky announces that he will give her into the hands of the Soviets the next day When he overviews Twingo trying to help Olga escape which Olga declines because she does not want to be the cause of endangering Hooky and Twingos friendship Hooky gives her into the hands of the Soviets the same night Over the next few days Hooky is heavily criticized for his actions by Twingo and Mother Superior He and Twingo continue their repatriation duties as they announce to the Soviet Professor Serge Bruloff  that he is about to be deported to which Bruloff reacts by shooting himself Hooky claims that there is no connection between Olgas reluctance to be deported to the Soviet Union and Serges suicide until the third person on his list Helena Nagard  Serges wife responds by bursting into tears Hooky starts to doubt the policy of the Soviets and as he witnesses Olga being deported to a harsh detainment camp he swears to raise awareness of the way these displaced people are being treated One day after telling Mother Superior how he has lost faith since the death of his son Hooky finds out the Soviets are taking authority in the British zone in their own hands by displacing Soviet citizens themselves Hooky enraged rushes to the train station where he witnesses the poor conditions they are in Mother Superior who accompanied him notices the presence of Olga among the people in the train Later Hooky announces he will take over all the people in the train prohibiting them from being transferred to Moscow Sometime later Hooky finds out Olga has escaped from the Soviets and brings her to safety with Twingo who is now her lover When Hooky and Mother Superior receive a visit from Piniev who is looking for Olga they refuse to cooperate and are therefore let go from their assignment The following period Hooky helps Mother Superior fly to Rome to visit the Pope Afterward Hooky is ordered to turn in Olga to the Soviets He refuses and is officially fired from his job Meanwhile Twingo and Olga plan on moving to Scotland when she is suddenly captured by Hookys replacement Colonel Omicron who intends to turn her in to Piniev Realizing her fate she attempts to commit suicide by jumping out of a window she dies that evening of her injuries Shortly after Hooky is assigned to an operation called Humanizing Army The repatriation is ended and Hooky is put in charge of administering the new policy
__label__War	Frieda is a German woman who helps an Englishman to escape from a German prisonerofwar camp as the Second World War nears its end She loves him he is only grateful to her In a church between the RussianGerman lines however Robert marries her so that she may obtain a British passport Together they eventually arrive in his Oxfordshire home Frieda meets his family  his mother his small stepbrother Tony Judy  the attractive widow of Roberts brother and Aunt Eleanor  a figure in local politics and vehemently antiGerman At first the townspeople are bitterly hostile to Frieda and Robert is forced to give up his job as a schoolteacher Gradually however the ill will retreats and she is accepted  though not by Eleanor She is befriended by Judy who unknown to Robert is now in love with him As Robert settles into a new life working with Frieda on a farm he begins to lose his prisonerofwar heaviness He sees Frieda in a new light But then they see a film dealing with the horror of BergenBelsen and Frieda fears their marriage will not survive its revelation of her countrymens cruelty But Robert clings on to what they have established between them Suddenly an exGerman soldier appears  Friedas brother Richard  Thinking he had been killed Frieda is initially overjoyed He had been captured and allowed to volunteer for the Polish Army Soon she realizes however that he has remained a Nazi at heart His wedding present to Frieda  a swastika on a chain In a pub he is denounced as one of the guards at a concentration camp To Robert in private he admits the truth of this accusation and even claims that Frieda had known and approved of his actions They fight and Robert revolts now against everything German as vile and polluted Frieda fearing that she has lost Robert now attempts suicide Just in time Robert reaches her and the shock brings him to a realisation of what he risked losing He perceives that his faith in her was justified Even Nell  confesses that her sweeping antiGerman bigotry was wrong You cannot treat human beings as though they were less than human  without becoming less than human yourselfDaily Mail Film Award Annual 1948
__label__Drama __label__War __label__Comedy	Plot The film focuses on various guests staying at New York Citys famed WaldorfAstoria Hotel Among them are lonely screen star Irene Malvern in town with her maid Anna for a childhood friends wedding and the premiere of her latest movie war correspondent Chip Collyer mistaken for a jewel thief by Irene but playing along to catch her attention flyer Capt James Hollis wounded in World War II and facing perilous surgery in three days wealthy shyster Martin X Edley who is trying to sign the Bey of Aribajan to a shady oil deal Oliver Webson a cub reporter for Colliers Weekly hoping to expose Edley and bridetobe Cynthia Drew whose upcoming wedding is endangered by her belief her fianc Bob is in love with Irene Malvern Also on the scene are Bunny Smith the hotels stenographernotary public who hopes to escape her low income roots by marrying Edley and reporter Randy Morton who loiters in the lobby hoping to stumble upon a scoop for his newspaper In the opening scene Randy Morton describes a typical Friday afternoon at the Waldorf A newlywed couple discover there are no rooms available and are given use of an apartment by a Mr Jesup who is going away for the weekend Edley finds Jesup in the lobby and tries to involve him in a deal with the Bey of Aribajan a wealthy oil shiek Jesup refuses but Edley knows that Jesup will be gone all weekend and has until Monday morning to get the Bey to sign a contract based on Jesups presumed involvement Chip Collyer a war correspondent arrives for several days of rest He had attended a long string of formal dinners and receptions and was going to hide in his apartment until he flew back to Europe on Monday morning Before the war Collyer had foiled one of Edleys schemes Edley sees him in the hallway and is sure that Collyer is there to stop the deal with the Bey Irene Malvern a film star is in town for a friends wedding and the premiere of her new movie She is tired of constantly working and is unhappy that after this weekend she will be taking a four day train ride to California and immediately starting on her next picture Edley Collyer Malvern and the Bey of Aribajan are all staying on the 39th Floor of the Waldorf Towers in large apartments with terraces Hotel stenographer Bunny Smith is called to the suite of Dr Robert Campbell who has just examined Captain James Hollis an airman with a piece of shrapnel dangerously close to his heart Dr Campbell dictates a letter to a doctor at Walter Reed saying that Hollis has an even chance at surviving an operation scheduled for the following Tuesday but he needs the will to live Hollis leaves the bedroom of Dr Campbells suite directly into the hall never seeing Bunny Smith On the way to the elevator he drops sheet music written by a fellow crew member who was killed on the mission that wounded Hollis A room service waiter delivers it to house band leader Xavier Cugat Hollis visits Cugat to retrieve it Hollis tells Cugat that he is taking it to his late friends mother Cugat plays the piece and suggests that he perform it on his radio show the following night at the Starlight Roof the nightclub on the 18th floor of the hotel Hollis visits the hotel stenographers office and asks Bunny to type up his will They talk and she realizes that he is the man that Dr Campbell had written about He asks her to join him at dinner at the Starlight Roof to hear his friends song performed Chip Collyer is approached by Webson hoping for help on the Edley story Collyer suggests talking to the Bey of Aribajan regarding the proposed deal and demonstrates how to sneak into the Beys apartment by hiding in a maids cart Collyer finds himself trapped in the cart when the maid returns and enters Irene Malverns apartment to avoid being seen by Edley and his assistant Irene Malverns door was open because she had requested someone from hotel security to take her jewelry to the hotel safe and station a guard outside Earlier her maid had admitted becoming involved with a man who intended to steal Irenes jewelry The maid insisted that he was a good man in a difficult situation so Irene agreed to meet him and see if this was true When she discovers Collyer hiding in the room she assumes he is the jewel thief he tries to deny it She catches him pocketing a gold table lighter and he recites a line from Grand Hotel in which the Baron returns the ballerinas jewels Irene is confused  She takes pity on him and tries to dispel the guard outside who will not leave because he is also guarding the Bey next door She allows him to sleep in the living room The next morning Malvern slips in to the living room unnoticed and looks in Collyers billfold at his military identification She confirms that Mr Collyer is a guest at the hotel and confronts him He insists correctly that it was she who created the misunderstanding and encouraged him to stay Cynthia Drew an heiress marrying Dr Campbell a childhood friend of Malverns comes to Malverns apartment and tells her that the wedding will be cancelled because she is sure that Malvern still has feelings for her fianc Irene is only able to convince Cynthia that this is not true by introducing her husband Chip Collyer Cynthia tells her mother and several friends about the secret marriage between the film star and the famous war correspondent Mrs Drew tells Randy Morton the newspaper columnist Collyer attends the wedding using Websons invitation as a member of the press but is seated next to his wife Edley has Bunny come to his apartment to dictate a proposed contract for his deal with the Bey He tells her that if the deal goes through he will be moving to New York and wants to hire her as his private and social secretary He tells her to attend dinner at the Starlight Roof with himself the Bey and other parties to the deal While he does not indicate any romantic interest in Bunny he clearly becomes jealous when she tells him she has a date He orders her to cancel it or the job offer is withdrawn Hollis is seated at a table at the Starlight Roof He orders an elaborate and expensive dinner before a note is delivered from Bunny giving her regrets After a performance by Xavier Cugat  he sees Bunny enter with the Beys party Cugat then introduces singer Bob Graham who performs Hollis friends song And There You Are Bunny excuses herself and goes to Hollis to apologize for having to accept Edleys invitation They go out to the terrace to talk Hollis tells her about his hometown of Jasmine California she tells him about her unhappy life on Tenth Avenue She reveals that Edleys job offer is a way out of poverty and she doesnt have any romantic interest in him They kiss and Edleys assistant comes out to tell her that Edley is looking for her Irene Malvern and her manager leave the hotel to go to the premiere of her new film After the premiere Collyer has let himself into Malverns room Morton broke the story in the paper that day and no one doubts that they are married He presents her with several law books to verify his claim that being introduced as ones spouse creates a commonlaw marriage  Malverns manager speaks to Collyer and persuade him to sign a statement denying the existence of the marriage His insistence on the phrase were not even pals annoys Malvern and her manager The manager extols the virtues of being an unmarried person with complete control over ones actions which causes Malvern already unhappy with her constant working to realize that being alone is a miserable existence Collyer comes to see her and they make up Monday morning the various parties prepare to leave the hotel The main headline on the newspaper is Websons story about Edleys fraudulent oil deal Edley rushes to the Beys apartment as the Beys luggage is being taken out Jesup has returned and has spoken to the Bey clarifying the situation The Bey is revealed to speak perfect English he was known to speak Arabic and French but until this final scene he would only speak to Edley through an English translator Bunny Smith races through the hotel lobby trying to find Captain Hollis before he leaves for his surgery in Washington She finds him just inside the Park Avenue doors of the hotel and says that she wants to come with him not only to Washington but also to Jasmine  Irene Malvern is about to take a fourday train ride to California She receives a call from Chip Collyer who is at the airport She surprises her manager by eagerly taking the call then rushing to the roof to wave a handkerchief at Collyers passing plane We last see Collyer lighting a cigarette with Malverns gold monogrammed lighter A minor plot line concerned Randy Mortons pregnant Scottish Terrier Suzie During the opening scene he struggles to find a BideaWee to take her in in the final scene Morton returns with Suzie and three puppies The film was released in early October 1945 a month after the official end of World War II but there are several references indicating that during the weekend of the story the war is still ongoing Chip Collyer describes Edleys deal to Webson as being bad because it will become effective after the war is over meaning that Nazi or Jap money could get Aribajans oil reserves Captain Hollis expects that if his surgery is successful he will return to California but this is due to a medical discharge and not the end of the war
__label__Action __label__War	Libya 1943 British Army Captain Alex Foster allows himself to be captured by a German convoy transporting British prisoners Once integrated with the prisoners Forster plans to take over the convoy with the help of the prisoners and redirect it towards the Libyan port town of Tobruk In a journey that has a few twists and turns including Forster running into Field Marshal Erwin Rommel they finally reach Tobruk where they destroy a coastal battery and escape to awaiting Royal Navy battleships
__label__Drama __label__Romance __label__War __label__Comedy	When the East Side Kids rescue Sylvia from the clutches of her abusive stepfather Morley who is knocked out cold by Mugs with the broken leg from a chair they have no idea of the danger in which they are getting themselves into The Kids take Sylvia to their clubhouse to hide out and Morley is killed by racketeer McGaffey for stealing his money When McGaffey spots the broken leg he takes it with him and uses the incriminating evidence to extort the East Side Kids into working for him Danny as a favor to Sylvia runs back to her apartment to gather some of her clothes however he is caught by a police officer who arrests him under the suspicion of murder McGaffey forces Mugs to break into a silk warehouse in exchange for the chair leg which he used to knock Morley out cold while helping Sylvia which has his fingerprints on it and could point the police in his direction for the murder
__label__Drama __label__Romance __label__War __label__Comedy	In 1930s Italy Guido Orefice  is a funny and charismatic young man looking for work in a city He falls in love with a local school teacher Dora  who is to be engaged to a rich but arrogant civil servant Guido engineers further meetings with her seizing on coincidental incidents to declare his affection for her and finally wins her over He steals her from her engagement party on a horse humiliating her fiance and mother Soon they are married and have a son Giosu  Through the first part the movie depicts the changing political climate in Italy Guido frequently imitates Nazi party members skewering their racist logic and pseudoscientific reasoning  However the growing racist wave is also evident the horse Guido steals Dora away on has been painted green and covered in antisemitic insults In 1945 after Dora and her mother  are reconciled Guido his Uncle Eliseo and Giosu are seized on Giosus birthday forced onto a train and taken to a concentration camp Despite being a nonJew Dora demands to be on the same train to join her family In the camp Guido hides their true situation from his son convincing him that the camp is a complicated game in which Giosu must perform the tasks Guido gives him earning him points the first team to reach one thousand points will win a tank He tells him that if he cries complains that he wants his mother or says that he is hungry he will lose points while quiet boys who hide from the camp guards earn extra points Guido uses this game to explain features of the concentration camp that would otherwise be scary for a young child the guards are mean only because they want the tank for themselves the dwindling numbers of children  are only hiding in order to score more points than Giosu so they can win the game He puts off Giosus requests to end the game and return home by convincing him that they are in the lead for the tank and need only wait a short while before they can return home with their tank Despite being surrounded by the misery sickness and death at the camp Giosu does not question this fiction because of his fathers convincing performance and his own innocence Guido maintains this story right until the end when in the chaos of shutting down the camp as the Americans approach he tells his son to stay in a sweatbox until everybody has left this being the final competition before the tank is his Guido tries to find Dora but is caught and executed by a Nazi soldier As he is marched off to be executed he maintains the fiction of the game by deliberately marching in an exaggerated goosestep The next morning Giosu emerges from the sweatbox as the camp is occupied by an American armored division They let him ride in the tank until later than day he sees Dora in the crowd of people streaming out of the camp In the film Giosu is four and a half years old however both the beginning and ending of the film are narrated by an older Giosu recalling his fathers story of sacrifice for his family
